City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
545,Borovskoy,53.8,64.15,-6.07,94,10,5.06,KZ,2022-01-26 01:49:59
546,La Ronge,55.1001,-105.2842,10.65,85,100,11.5,CA,2022-01-26 01:49:59
547,Hamada,34.8833,132.0833,46.99,68,59,14.07,JP,2022-01-26 01:51:00
548,Mina,26.0011,-100.5299,64.06,55,27,10.49,MX,2022-01-26 01:51:00
549,Lattes,43.5675,3.9046,34.81,100,0,3.44,FR,2022-01-26 01:51:01
550,Areka,7.0667,37.7,56.71,62,1,6.06,ET,2022-01-26 01:51:01
551,Itarema,-2.9248,-39.9167,79.84,76,90,10.2,BR,2022-01-26 01:51:01
552,Sidrolandia,-20.9319,-54.9614,75.99,80,98,4.45,BR,2022-01-26 01:51:02
553,Bonfim,3.0833,-59.95,80.69,64,100,8.97,BR,2022-01-26 01:51:03
554,Skjervoy,70.0311,20.9714,32.31,69,100,20.38,NO,2022-01-26 01:51:03
555,Soma,39.1855,27.6094,25.3,91,88,7.85,TR,2022-01-26 01:51:03
556,Marsa Matruh,31.3525,27.2453,48.4,57,40,11.5,EG,2022-01-26 01:51:04
557,Jalu,29.0331,21.5482,43.95,69,5,17.92,LY,2022-01-26 01:51:04
558,Agirish,61.9247,63.0231,10.92,86,100,8.3,RU,2022-01-26 01:51:05
559,Belmonte,-15.8631,-38.8828,79.3,86,100,7.05,BR,2022-01-26 01:51:05
560,Nyurba,63.2842,118.3319,-14.37,97,100,5.77,RU,2022-01-26 01:51:05
561,Sibenik,43.7272,15.9058,42.46,58,5,5.86,HR,2022-01-26 01:51:06
562,Millinocket,45.6573,-68.7098,23.02,92,100,0.0,US,2022-01-26 01:51:06
563,Miyako,39.6367,141.9525,39.34,54,100,2.3,JP,2022-01-26 01:51:06
564,Port Macquarie,-31.4333,152.9167,73.89,71,99,7.2,AU,2022-01-26 01:47:30
565,Yining,29.0361,114.5636,43.48,97,100,2.17,CN,2022-01-26 01:51:07
566,Uruzgan,32.8333,66.0,22.75,49,0,9.15,AF,2022-01-26 01:51:07
567,Malatya,38.5,38.0,19.45,93,100,0.0,TR,2022-01-26 01:51:08
