City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
237,Jalu,LY,53.56,clear sky,29.0331,21.5482,صاحبة الفخامة
238,Lar,IN,49.69,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
242,Belle Fourche,US,54.5,clear sky,44.6714,-103.8522,Kings Inn
244,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
248,Odweyne,SO,63.68,overcast clouds,9.4092,45.064,Eng Hiirey House
250,Dicabisagan,PH,76.14,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
252,Brandfort,ZA,72.21,overcast clouds,-28.7001,26.4597,SUMFRA GUESTHOUSE
255,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
256,Sao Joao Da Barra,BR,86.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
258,Jiangyou,CN,40.66,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
259,San Felipe,VE,83.28,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
260,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
262,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
264,Broken Hill,AU,74.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
265,Nagapattinam,IN,76.33,overcast clouds,10.7667,79.8333,Sathya Lodge
266,Wum,CM,69.82,overcast clouds,6.3833,10.0667,Wum Council Hall
268,Wanning,CN,65.59,overcast clouds,18.8003,110.3967,Paradise Hotel
272,Mpophomeni,ZA,59.31,overcast clouds,-29.5682,30.1862,Yellowhouse Lodge
273,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
274,Fortuna,US,60.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
275,Bonga,ET,63.28,few clouds,7.2833,36.2333,Abelena bare and restorant
276,Praxedis Guerrero,MX,55.29,clear sky,31.3667,-106.0167,Congregación placitas de Otero
277,Mattru,SL,79.11,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
278,Thai Binh,VN,55.4,overcast clouds,20.45,106.3333,Sweden Hotel
280,Vila Franca Do Campo,PT,61.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
281,Port Keats,AU,81.18,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
282,Hit,IQ,50.32,scattered clouds,33.6416,42.8251,صالون زيرو
285,Kaitangata,NZ,55.89,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
286,Rawson,AR,83.35,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
287,Chilliwack,CA,43.02,overcast clouds,49.1747,-121.9443,Coast Chilliwack Hotel by APA
288,Avallon,FR,41.02,overcast clouds,47.4833,3.9,Hotel d'Avallon Vauban
292,Kieta,PG,78.93,light rain,-6.2167,155.6333,Uruna Bay Retreat
294,Sandwick,GB,40.82,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
296,Sao Gabriel Da Cachoeira,BR,87.6,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
