City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
191,Ambilobe,-13.2,49.05,74.08,95,52,2.01,MG,light rain
192,Kodiak,57.79,-152.4072,31.51,64,75,19.57,US,broken clouds
193,Mar Del Plata,-38.0023,-57.5575,86.02,88,0,21.0,AR,clear sky
194,Komsomolskiy,40.4272,71.7189,36.32,93,75,0.0,UZ,mist
195,Ponta Delgada,37.7333,-25.6667,61.5,72,20,5.75,PT,few clouds
196,Saint George,37.1041,-113.5841,57.34,22,0,1.99,US,clear sky
197,Albion,42.2431,-84.753,22.86,59,0,9.22,US,clear sky
198,Christchurch,-43.5333,172.6333,63.91,85,20,3.0,NZ,few clouds
199,Jaguariuna,-22.7056,-46.9858,72.37,97,100,0.96,BR,light rain
200,Karratha,-20.7377,116.8463,80.98,62,68,16.33,AU,broken clouds
201,Katsuura,35.1333,140.3,41.18,84,32,13.96,JP,scattered clouds
202,Goderich,43.7501,-81.7165,17.04,73,84,6.91,CA,broken clouds
203,Beeville,28.4008,-97.7483,65.62,13,0,5.75,US,clear sky
204,Santa Isabel,-23.3156,-46.2214,74.91,96,100,4.56,BR,light rain
205,Tucurui,-3.7661,-49.6725,73.33,97,100,2.13,BR,overcast clouds
206,Lavrentiya,65.5833,-171.0,-4.52,84,4,3.89,RU,clear sky
207,Medea,36.2642,2.7539,37.85,60,0,2.62,DZ,clear sky
208,Hambantota,6.1241,81.1185,77.99,82,73,6.51,LK,broken clouds
209,Pochutla,15.7432,-96.4661,86.83,45,1,10.02,MX,clear sky
210,Foz,43.5692,-7.2544,51.42,93,100,5.3,ES,overcast clouds
211,San Patricio,28.017,-97.5169,66.16,26,52,4.54,US,broken clouds
212,Burlington,39.8835,-74.6413,21.18,74,75,11.01,US,broken clouds
213,Qesarya,32.5189,34.9046,50.31,75,73,5.82,IL,broken clouds
214,Sabang,5.8933,95.3214,82.11,71,21,9.93,ID,few clouds
215,Andenes,69.3143,16.1194,26.58,63,100,16.11,NO,overcast clouds
216,Necochea,-38.5473,-58.7368,92.03,37,1,15.77,AR,clear sky
217,Lashio,22.9333,97.75,45.93,80,0,1.19,MM,clear sky
218,Augusto Correa,-1.0217,-46.635,73.69,96,100,1.07,BR,moderate rain
219,Tual,-5.6667,132.75,83.53,75,100,13.51,ID,overcast clouds
220,Khatanga,71.9667,102.5,-4.59,99,100,5.23,RU,overcast clouds
221,Kemijarvi,66.7131,27.4306,14.72,96,99,6.64,FI,overcast clouds
222,Fort Myers Beach,26.452,-81.9481,59.05,49,0,4.0,US,clear sky
223,Panguna,-6.3164,155.4848,69.22,96,100,1.97,PG,light rain
224,Rio Gallegos,-51.6226,-69.2181,59.05,47,75,21.85,AR,broken clouds
225,Faanui,-16.4833,-151.75,79.68,75,19,11.9,PF,light rain
226,Carazinho,-28.2839,-52.7864,74.34,53,98,11.65,BR,overcast clouds
227,Kununurra,-15.7667,128.7333,78.78,94,40,10.36,AU,scattered clouds
228,Villa Sandino,12.0483,-84.9936,87.17,40,0,17.83,NI,clear sky
229,Hudson Bay,52.85,-102.3842,12.04,84,100,1.07,CA,overcast clouds
230,Norman Wells,65.282,-126.8329,-25.56,68,20,2.3,CA,few clouds
231,Geraldton,-28.7667,114.6,70.21,88,0,5.75,AU,light rain
232,Stromness,58.965,-3.296,40.96,65,32,35.84,GB,scattered clouds
233,Alvaraes,-3.2208,-64.8042,82.27,95,100,1.63,BR,overcast clouds
234,Uige,-7.6087,15.0613,67.42,95,96,0.34,AO,light rain
235,Niksar,40.5917,36.9517,25.02,80,92,5.97,TR,overcast clouds
236,Angoche,-16.2325,39.9086,77.99,84,100,6.26,MZ,overcast clouds
237,Jalu,29.0331,21.5482,53.56,40,0,9.8,LY,clear sky
238,Lar,26.2039,83.9717,49.69,71,0,7.63,IN,clear sky
239,Saint-Francois,46.4154,3.9054,38.68,100,100,3.44,FR,mist
240,Verkhoyansk,67.5447,133.385,-33.65,100,100,1.77,RU,overcast clouds
241,Baley,51.6,116.6333,-20.43,100,48,0.27,RU,scattered clouds
242,Belle Fourche,44.6714,-103.8522,54.5,13,4,15.41,US,clear sky
243,Baltasi,56.3462,50.2062,10.04,95,100,7.47,RU,light snow
244,Tautira,-17.7333,-149.15,80.62,75,100,14.36,PF,overcast clouds
245,Longyearbyen,78.2186,15.6401,8.44,66,0,17.27,SJ,clear sky
246,Zhezkazgan,47.8043,67.7144,19.83,91,100,13.49,KZ,overcast clouds
247,Maniitsoq,65.4167,-52.9,9.46,76,100,30.29,GL,light snow
248,Odweyne,9.4092,45.064,63.68,41,98,8.99,SO,overcast clouds
249,Qasigiannguit,68.8193,-51.1922,14.25,82,83,10.69,GL,broken clouds
250,Dicabisagan,17.0818,122.4157,76.14,88,10,3.98,PH,clear sky
251,Nanortalik,60.1432,-45.2371,19.49,68,100,12.15,GL,light snow
252,Brandfort,-28.7001,26.4597,72.21,55,99,15.93,ZA,overcast clouds
253,Iqaluit,63.7506,-68.5145,-7.87,59,100,4.61,CA,light snow
254,Suksun,57.1431,57.3949,6.39,96,100,4.16,RU,overcast clouds
255,Port Blair,11.6667,92.75,77.04,88,75,2.3,IN,mist
256,Sao Joao Da Barra,-21.6403,-41.0511,86.09,87,42,13.4,BR,scattered clouds
257,Severo-Kurilsk,50.6789,156.125,23.45,77,87,19.37,RU,overcast clouds
258,Jiangyou,31.7667,104.7167,40.66,88,100,2.15,CN,overcast clouds
259,San Felipe,10.3399,-68.7425,83.28,54,58,9.53,VE,broken clouds
260,Vila Do Maio,15.1333,-23.2167,70.59,71,100,17.09,CV,overcast clouds
261,Tugulym,57.0591,64.6425,5.32,96,100,3.36,RU,overcast clouds
262,Saint-Joseph,-21.3667,55.6167,75.58,82,44,10.51,RE,scattered clouds
263,Saint Anthony,45.0205,-93.218,28.09,60,0,3.0,US,clear sky
264,Broken Hill,-31.95,141.4333,74.91,60,2,9.22,AU,clear sky
265,Nagapattinam,10.7667,79.8333,76.33,88,92,12.57,IN,overcast clouds
266,Wum,6.3833,10.0667,69.82,25,100,2.24,CM,overcast clouds
267,Fuerte Olimpo,-21.0415,-57.8738,96.03,28,49,1.34,PY,scattered clouds
268,Wanning,18.8003,110.3967,65.59,86,100,9.64,CN,overcast clouds
269,Shingu,33.7333,135.9833,38.01,74,94,6.69,JP,overcast clouds
270,Hovd,48.0056,91.6419,-13.02,72,13,3.09,MN,few clouds
271,Nome,64.5011,-165.4064,-6.9,70,0,5.75,US,clear sky
272,Mpophomeni,-29.5682,30.1862,59.31,99,99,1.95,ZA,overcast clouds
273,Bathsheba,13.2167,-59.5167,81.21,81,40,18.41,BB,scattered clouds
274,Fortuna,40.5982,-124.1573,60.93,58,0,5.01,US,clear sky
275,Bonga,7.2833,36.2333,63.28,43,13,1.39,ET,few clouds
276,Praxedis Guerrero,31.3667,-106.0167,55.29,25,6,3.06,MX,clear sky
277,Mattru,7.6244,-11.8332,79.11,73,100,4.92,SL,overcast clouds
278,Thai Binh,20.45,106.3333,55.4,79,100,9.44,VN,overcast clouds
279,Mayo,38.8876,-76.5119,28.65,43,40,14.0,US,scattered clouds
280,Vila Franca Do Campo,37.7167,-25.4333,61.2,75,52,8.68,PT,broken clouds
281,Port Keats,-14.25,129.55,81.18,84,100,18.16,AU,overcast clouds
282,Hit,33.6416,42.8251,50.32,59,29,3.71,IQ,scattered clouds
283,Santa Cruz,-17.8,-63.1667,95.05,34,75,11.5,BO,broken clouds
284,Chudovo,59.1167,31.6833,22.35,91,100,13.04,RU,overcast clouds
285,Kaitangata,-46.2817,169.8464,55.89,94,100,4.43,NZ,overcast clouds
286,Rawson,-43.3002,-65.1023,83.35,31,45,4.05,AR,scattered clouds
287,Chilliwack,49.1747,-121.9443,43.02,70,99,3.44,CA,overcast clouds
288,Avallon,47.4833,3.9,41.02,98,100,8.99,FR,overcast clouds
289,Larsnes,62.2028,5.5773,39.67,77,100,26.91,NO,overcast clouds
290,Henties Bay,-22.116,14.2845,63.86,82,53,5.19,NA,broken clouds
291,West Lafayette,40.4259,-86.9081,26.11,55,20,9.22,US,few clouds
292,Kieta,-6.2167,155.6333,78.93,88,100,8.52,PG,light rain
293,Berlevag,70.8578,29.0864,21.2,80,97,6.82,NO,overcast clouds
294,Sandwick,60.0,-1.25,40.82,60,100,40.29,GB,overcast clouds
295,Adrar,20.5022,-10.0711,79.77,11,100,10.56,MR,overcast clouds
296,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,87.6,74,75,4.61,BR,moderate rain
297,Gasa,31.5,34.4667,49.98,71,0,5.19,PS,clear sky
298,Hithadhoo,-0.6,73.0833,81.05,66,94,2.51,MV,overcast clouds
299,Yinchuan,38.4681,106.2731,26.28,46,50,3.89,CN,scattered clouds
300,Didsbury,53.417,-2.2315,47.55,72,75,11.01,GB,broken clouds
301,Jacareacanga,-6.2222,-57.7528,75.24,92,100,2.33,BR,overcast clouds
302,Meulaboh,4.1363,96.1285,77.63,88,89,2.86,ID,overcast clouds
303,Callaway,30.153,-85.5699,48.97,27,0,7.0,US,clear sky
304,Safaga,26.7292,33.9365,57.15,51,1,13.11,EG,clear sky
305,Quatre Cocos,-20.2078,57.7625,80.71,74,96,14.74,MU,overcast clouds
306,Mandalgovi,45.7625,106.2708,-0.76,91,100,15.93,MN,overcast clouds
307,Vertientes,21.2594,-78.1464,75.81,62,99,19.28,CU,overcast clouds
308,Klaksvik,62.2266,-6.589,34.72,64,82,32.03,FO,broken clouds
309,Kirensk,57.7853,108.1119,-20.22,100,98,1.07,RU,overcast clouds
310,Abu Samrah,35.3029,37.1841,41.2,79,100,7.78,SY,overcast clouds
311,Manado,1.487,124.8455,75.97,100,40,1.14,ID,scattered clouds
312,San Jose,37.3394,-121.895,63.86,49,0,1.99,US,clear sky
313,Aquiraz,-3.9014,-38.3911,84.29,72,89,9.4,BR,overcast clouds
314,Provideniya,64.3833,-173.3,2.59,86,4,5.21,RU,clear sky
315,Gaoual,11.75,-13.2,85.8,14,44,2.48,GN,scattered clouds
316,Kletskaya,49.3145,43.0584,35.08,96,100,15.73,RU,snow
317,Srednekolymsk,67.45,153.6833,-23.93,100,93,4.94,RU,overcast clouds
318,Ghanzi,-21.5667,21.7833,75.18,58,83,11.32,BW,broken clouds
319,Rocha,-34.4833,-54.3333,77.54,52,10,13.0,UY,clear sky
320,Grand Gaube,-20.0064,57.6608,81.0,75,86,1.99,MU,overcast clouds
321,Shimoda,34.6667,138.95,39.11,70,61,8.72,JP,broken clouds
322,Port Lincoln,-34.7333,135.8667,64.36,89,32,13.69,AU,scattered clouds
323,Oranjemund,-28.55,16.4333,65.89,85,68,11.95,NA,broken clouds
324,Ouahigouya,13.5828,-2.4216,75.43,13,35,11.77,BF,scattered clouds
325,La Ronge,55.1001,-105.2842,8.85,66,100,2.3,CA,overcast clouds
326,Puro,12.4841,123.3827,77.86,83,91,3.2,PH,overcast clouds
327,Talnakh,69.4865,88.3972,-0.65,97,100,9.46,RU,light snow
328,Esperance,-33.8667,121.9,64.24,78,0,14.38,AU,clear sky
329,Andilamena,-17.0167,48.5833,66.58,92,100,5.17,MG,overcast clouds
330,Russell,32.3502,-85.1999,43.05,21,0,13.8,US,clear sky
331,Aksarka,66.5606,67.7975,-17.37,100,100,6.35,RU,overcast clouds
332,Fomboni,-12.28,43.7425,82.69,69,99,7.9,KM,overcast clouds
333,Ramtek,21.4,79.3333,52.56,32,0,3.2,IN,clear sky
334,Palana,59.1167,159.9667,22.3,73,49,13.96,RU,scattered clouds
335,Krasnoselkup,65.7,82.4667,-10.68,99,99,7.67,RU,overcast clouds
336,Bafq,31.6128,55.4107,50.72,30,17,1.63,IR,few clouds
337,Kolno,53.4115,21.9291,35.71,97,100,21.81,PL,overcast clouds
338,Taltal,-25.4,-70.4833,69.03,68,9,7.81,CL,clear sky
339,Hondo,32.45,130.2,43.95,57,100,12.28,JP,overcast clouds
340,Tiznit,29.5833,-9.5,59.38,29,0,18.32,MA,clear sky
341,Bilma,18.6853,12.9164,61.99,17,0,9.8,NE,clear sky
342,Ahipara,-35.1667,173.1667,64.6,73,70,6.93,NZ,broken clouds
343,Smiltene,57.4244,25.9016,30.79,93,100,19.98,LV,light snow
344,Fallon,39.4735,-118.7774,47.91,43,40,0.0,US,scattered clouds
345,Walla Walla,46.0646,-118.343,40.05,74,100,5.75,US,overcast clouds
346,Bani,18.2833,-70.3333,87.24,56,3,8.55,DO,clear sky
